user_name,test_name,test_datetime,part_number,stage_serial
ajung,Accuracy,2025-07-01 10:38:39,ABL1000,515768-01
ajung,Flatness,2025-07-01 11:07:35,ABL1000-100-E2,515769-01
ajung,Flatness,2025-07-01 11:07:48,ABL1000-100-E2,515769-01
ajung,Flatness,2025-07-01 11:15:18,ABL1000-100-E2,515769-01
ajung,Accuracy,2025-07-01 12:54:03,ABL1000-100-E2,515769-01
ajung,Accuracy,2025-07-01 12:58:15,ABL1000-100-E2,515769-01
gschliffka,Accuracy2D,2025-07-01 13:06:28,PRO165LM-0310-ES18837-15,507845-01
ajung,Accuracy,2025-07-01 13:27:51,ABL1000-100-E2,515769-01
ajung,Straightness,2025-07-02 10:05:47,ANT130LZS,515770-01
ajung,Straightness,2025-07-02 10:06:27,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 11:14:35,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 11:17:21,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 11:29:55,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 11:48:19,ANT130LZS,515770-01
bmowry,Accuracy,2025-07-02 11:49:26,PLANARDLA,431985-01
ajung,Accuracy,2025-07-02 11:57:37,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 12:23:24,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:00:26,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:02:00,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:03:21,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:04:30,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:05:51,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:06:00,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:06:08,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:18:41,ANT130LZS,515770-01
ajung,Accuracy,2025-07-02 13:31:57,ANT130LZS,515770-01
mechassy,Accuracy2D,2025-07-03 14:53:23,ANT130-XY,642061-1-1
mechassy,Accuracy2D,2025-07-03 14:58:40,ANT130-XY,642061-1-1
lstahl,Accuracy2D,2025-07-07 07:30:14,Y (Lower),642061-12kg-98-Ver
lstahl,Accuracy2D,2025-07-07 07:31:55,Y (Lower),642061-12kg-98-Ver
lstahl,Accuracy2D,2025-07-07 07:35:53,Y (Lower),642061-12kg-98-ver
lstahl,Accuracy2D,2025-07-07 07:40:00,Y (Lower),642061-12kg-98-ver
gschliffka,Accuracy2D,2025-07-07 10:16:10,ANT130XY-160-E4,519742-01
gschliffka,Accuracy2D,2025-07-07 11:05:39,ANT130XY-160-E4,519742-01
cdelsignore,Accuracy,2025-07-07 13:54:21,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 08:11:00,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 08:17:17,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 08:22:19,PRO165SV-020-ES90256,523341-02
gschliffka,Accuracy1DXY,2025-07-08 08:47:44,ANT130XY-160-E4,519742-01
cdelsignore,Accuracy,2025-07-08 09:06:51,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 09:11:34,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 09:28:13,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 10:05:20,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 10:32:50,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 14:59:24,PRO165SV-020-ES90256,523341-02
cdelsignore,Accuracy,2025-07-08 15:56:25,PRO165SV-020-ES90256,523341-01
cdelsignore,Accuracy,2025-07-08 16:13:22,PRO165SV-020-ES90256,523341-01
mtrozzi,Flatness,2025-07-09 09:24:09,ABL1000-100-E2,515769-01
nguy,Accuracy2D,2025-07-10 08:19:11,ES18837-6,507846-04
nguy,Accuracy2D,2025-07-10 08:19:33,ES18837-6,507846-04
nguy,SixDegree,2025-07-10 08:55:13,ANT180L-260-ES16890-66,508586-01
nguy,SixDegree,2025-07-10 09:21:57,ANT180L-260-ES16890-66,508586-01
nguy,SixDegree,2025-07-10 09:34:43,ANT180L-260-ES16890-66,508586-01
nguy,SixDegree,2025-07-10 10:33:27,ANT95LZS-100-ES16890-66,508588-01
nguy,SixDegree,2025-07-10 10:48:44,ANT95LZS-100-ES16890-66,508588-01
nguy,SixDegree,2025-07-10 10:52:02,ANT95LZS-100-ES16890-66,508588-01
bmowry,Accuracy2D,2025-07-11 10:45:17,PRO165LM-0310,507845-05
bmowry,Accuracy2D,2025-07-11 10:47:22,PRO165LM-0310,507845-05
