sequence_id,start_time,end_time,num_stops,user_name,test_name,part_number,stage_serial
181,2025-06-16 12:47:25,2025-06-16 12:51:42,2,cdelsignore,SixDegree,PRO115SL-200,519337-09
182,2025-05-15 14:56:07,2025-05-15 14:56:07,1,cdelsignore,SixDegree,ANT130LZS-060-E1,519425-03
183,2025-08-06 11:52:51,2025-08-06 12:22:53,3,gschliffka,SixDegree,WaferMaxZ-ES15925,519537-01
184,2025-08-07 08:27:43,2025-08-07 08:45:07,3,gschliffka,SixDegree,FA90-ES15925,519540-01
185,2025-08-07 09:42:05,2025-08-07 09:42:05,1,gschliffka,SixDegree,FA90-ES15925,519540-02
186,2025-08-07 10:26:35,2025-08-07 10:26:35,1,gschliffka,SixDegree,FA90-ES15925,519541-01
187,2025-05-16 11:28:51,2025-05-16 11:28:51,1,cdelsignore,SixDegree,ANT130XY-160-E1 (Lower),520026-01
188,2025-07-21 14:04:51,2025-07-21 14:04:51,1,ajung,SixDegree,PRO165LM-0100-TT2-E1-CMS4-PL2-TAS,522054-05
189,2025-07-17 10:52:31,2025-07-17 10:52:31,1,cdelsignore,SixDegree,FIBERMAXHP-ZXY,522291-01
190,2025-07-16 08:06:51,2025-07-16 08:06:51,1,dyounge,SixDegree,ANT130LZS-060,523103-03
191,2025-07-18 07:20:41,2025-07-18 07:53:51,2,dyounge,SixDegree,ES17293-5,524852-01
192,2025-07-18 14:32:35,2025-07-21 07:19:59,5,dyounge,SixDegree,ANT130LZS-060-ES17293-2,524865-01
193,2025-07-18 12:47:49,2025-07-18 12:47:49,1,dyounge,SixDegree,ANT130LZS-060-ES17293-2,524865-02
194,2025-07-30 10:18:06,2025-07-30 12:58:13,4,gschliffka,SixDegree,ANT130LZS-060-ES17293-2,524884-01
195,2025-08-05 08:54:59,2025-08-05 08:54:59,1,nguy,SixDegree,ANT130LZS-060,524927-03
196,2025-08-29 09:07:08,2025-08-29 12:13:16,3,nguy,SixDegree,ANT95V-3,526568-01
197,2025-09-03 10:52:51,2025-09-03 10:52:51,1,nguy,SixDegree,LaserTurn5,527108-01
198,2025-08-22 11:44:06,2025-08-22 11:44:06,1,dyounge,SixDegree,ANT95LZ-025,527550-01
